condition,model_level,objective,candidate_id,r2,baseline_r2
Pooled,d3,o_min,m070516_o_min_ord26_rk00002,0.46243390490364544,0.44412019179998563
Pooled,d3,o_min,m069527_o_min_ord25_rk00013,0.46239524148296196,0.44412019179998563
Pooled,d3,o_min,m065526_o_min_ord21_rk00012,0.46205840544844423,0.44412019179998563
Pooled,d3,o_min,m069523_o_min_ord25_rk00009,0.46193594576110697,0.44412019179998563
Pooled,d3,o_min,m070520_o_min_ord26_rk00006,0.4618961247402884,0.44412019179998563
Pooled,d3,o_min,m069516_o_min_ord25_rk00002,0.46168678772938276,0.44412019179998563
CN->CN,OLS,o_max,m008018_o_max_ord11_rk00019,0.4526358328569676,0.436846775656364
CN->CN,OLS,o_max,m005005_o_max_ord8_rk00006,0.451726505543,0.436846775656364
CN->CN,OLS,o_max,m005016_o_max_ord8_rk00017,0.4511396703598757,0.436846775656364
CN->CN,OLS,o_max,m007017_o_max_ord10_rk00018,0.4479909346862656,0.436846775656364
CN->CN,OLS,o_max,m013013_o_max_ord16_rk00014,0.4461826889638456,0.436846775656364
CN->CN,OLS,o_max,m006012_o_max_ord9_rk00013,0.4458299532326444,0.436846775656364
CN->CN,OLS,o_max,m006006_o_max_ord9_rk00007,0.4443987481321412,0.436846775656364
CN->CN,OLS,o_max,m003013_o_max_ord6_rk00014,0.4427818812565767,0.436846775656364
CN->CN,OLS,o_max,m005008_o_max_ord8_rk00009,0.4412951724672211,0.436846775656364
CN->CN,OLS,o_max,m008016_o_max_ord11_rk00017,0.4402423007664976,0.436846775656364
CN->CN,OLS,o_max,m008014_o_max_ord11_rk00015,0.4398118361221532,0.436846775656364
CN->CN,OLS,o_max,m000000_o_max_ord3_rk00001,0.4396123484900923,0.436846775656364
CN->CN,OLS,o_max,m000011_o_max_ord3_rk00012,0.4392219309933197,0.436846775656364
CN->CN,OLS,o_max,m000019_o_max_ord3_rk00020,0.4389263066844882,0.436846775656364
CN->CN,OLS,o_max,m013016_o_max_ord16_rk00017,0.4383556936599565,0.436846775656364
CN->CN,OLS,o_max,m001002_o_max_ord4_rk00003,0.4378556139872661,0.436846775656364
CN->CN,OLS,o_max,m005001_o_max_ord8_rk00002,0.4376860828983234,0.436846775656364
CN->CN,OLS,o_max,m007019_o_max_ord10_rk00020,0.4370586649584238,0.436846775656364
CN->CN,OLS,o_max,m008005_o_max_ord11_rk00006,0.4368044693147025,0.436846775656364
